                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6924,                 2.5743,                 1.1326,                0.92663,                0.62117,                0.79408,                0.34335,                 1.8278,                 2.2553,                 1.3182,             0.00065979,             0.00065979,             0.00065979
                      2,                 1.5619,                 1.4762,                 1.1325,                 0.8019,                0.76313,                0.82939,                0.39635,                 1.7375,                 1.3946,                 1.2743,              0.0013133,              0.0013133,              0.0013133
                      3,                 1.5571,                 1.2288,                 1.1578,                0.83551,                0.78279,                0.84493,                0.38353,                  1.937,                 1.4221,                 1.5315,              0.0019537,              0.0019537,              0.0019537
                      4,                 1.5542,                 1.0275,                  1.173,                0.84315,                0.77049,                0.81293,                0.33792,                 1.9378,                 1.0739,                  1.465,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4905,                0.92659,                 1.1626,                0.92035,                0.78689,                0.85216,                0.37669,                 1.7526,                 1.0879,                 1.4194,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5128,                 0.9152,                 1.1544,                0.89094,                0.81967,                 0.8929,                0.40965,                 1.8031,                 0.9176,                 1.4228,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4586,                0.84248,                 1.1447,                0.91653,                0.85505,                0.92308,                0.43124,                 1.8008,                0.92079,                 1.4144,               0.001901,               0.001901,               0.001901
                      8,                 1.4606,                0.79807,                 1.1308,                0.85906,                 0.7377,                0.79765,                0.33089,                 2.0205,                  1.032,                 1.5004,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4369,                0.78302,                 1.1131,                0.93984,                0.83229,                0.89672,                0.43747,                 1.7299,                0.94402,                 1.3284,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3736,                0.73461,                 1.1096,                0.93912,                0.82377,                0.88099,                0.42103,                 1.8109,                0.98079,                    1.4,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3853,                0.73045,                 1.1052,                 0.8783,                0.79863,                0.85889,                0.38688,                 1.9577,                 1.0109,                 1.4995,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3947,                 0.7156,                 1.1027,                 0.8427,                 0.7418,                0.76029,                0.27343,                 2.1141,                      1,                 1.5716,               0.001802,               0.001802,               0.001802
                     13,                 1.3611,                 0.7109,                 1.0825,                0.88004,                0.81557,                 0.8812,                0.36226,                 1.9015,                0.92055,                 1.4086,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3496,                 0.6992,                 1.0832,                   0.87,                0.82377,                0.87052,                0.41612,                  1.753,                0.98633,                 1.3448,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3589,                0.69104,                 1.0825,                0.82424,                0.78279,                0.82153,                0.33304,                 2.1197,                0.95146,                 1.6709,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3383,                0.68871,                 1.0868,                0.87059,                0.77459,                0.80946,                0.32457,                 1.9652,                0.98471,                 1.4802,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.3463,                0.68182,                 1.0726,                0.90914,                0.77912,                0.84883,                0.36582,                 1.8462,                 0.9089,                 1.4206,               0.001703,               0.001703,               0.001703
                     18,                 1.3435,                0.66329,                 1.0731,                0.84024,                0.78279,                0.81577,                0.31225,                  2.069,                  1.119,                 1.5848,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.3274,                0.65542,                   1.08,                0.91393,                0.79508,                0.86963,                0.38201,                 1.7805,                0.91562,                 1.3837,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.3225,                0.66157,                 1.0756,                 0.8941,                0.79508,                  0.843,                0.34578,                 1.9001,                  1.004,                 1.5195,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.3205,                0.65014,                 1.0631,                0.88341,                0.79098,                0.82883,                 0.3557,                 2.0078,                0.91149,                 1.6035,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.2912,                0.63849,                 1.0569,                0.92553,                0.86586,                 0.8764,                0.39678,                 1.8379,                0.95512,                 1.4578,               0.001604,               0.001604,               0.001604
                     23,                 1.2627,                0.62245,                  1.051,                0.92428,                0.83607,                0.86803,                0.38251,                 1.8471,                0.91055,                 1.4528,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.2918,                0.62719,                 1.0486,                0.91307,                0.81792,                0.84897,                0.39896,                 1.7707,                 0.8613,                 1.3572,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.2852,                0.64321,                 1.0582,                0.88954,                0.82508,                0.84211,                0.37329,                 1.8132,                0.86123,                 1.4253,              0.0015446,              0.0015446,              0.0015446
                     26,                  1.257,                0.60533,                 1.0389,                0.92247,                0.82898,                0.86958,                 0.3784,                 1.8858,                 1.0005,                 1.4565,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.2423,                 0.6026,                 1.0377,                0.87365,                0.80738,                0.81362,                0.35487,                 1.8573,                 0.8674,                 1.4262,               0.001505,               0.001505,               0.001505
                     28,                 1.2737,                0.61088,                 1.0496,                0.88197,                0.79626,                0.83288,                0.36328,                 1.9159,                0.89405,                  1.491,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.2271,                0.58913,                 1.0353,                0.89921,                0.78279,                0.81358,                0.33747,                 2.1342,                0.94384,                 1.6647,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.2511,                0.59302,                 1.0418,                0.88704,                0.77049,                0.80122,                0.34869,                  1.935,                0.88116,                 1.5259,              0.0014456,              0.0014456,              0.0014456
                     31,                  1.242,                0.59153,                 1.0366,                0.86461,                0.79918,                0.81829,                0.37316,                 1.9273,                0.85345,                 1.5308,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.2489,                0.59006,                 1.0313,                0.92391,                0.81967,                0.86135,                0.40609,                 1.7871,                0.90181,                 1.4157,               0.001406,               0.001406,               0.001406
                     33,                 1.2661,                0.59873,                 1.0388,                0.92545,                0.81398,                0.83973,                0.36152,                 1.9014,                0.84555,                 1.5126,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.2167,                0.57464,                 1.0292,                0.92731,                0.82787,                0.87055,                 0.3953,                 1.7948,                0.82746,                  1.427,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.2134,                0.57283,                 1.0302,                0.91637,                0.79508,                0.81097,                0.32916,                 1.9712,                0.91176,                   1.54,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2222,                 0.5648,                 1.0333,                0.91448,                0.78882,                 0.8372,                0.36346,                 1.8682,                0.90646,                 1.4549,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1947,                0.56339,                 1.0317,                0.91875,                0.79918,                0.84043,                0.37434,                 1.8384,                0.90145,                 1.4311,               0.001307,               0.001307,               0.001307
                     38,                 1.2059,                0.56853,                 1.0171,                0.83584,                0.79098,                0.81048,                0.32832,                 1.9661,                0.81265,                 1.5733,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1852,                0.55232,                 1.0197,                0.85503,                0.79098,                0.77675,                0.31561,                 1.9069,                0.89042,                 1.4787,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1774,                0.55079,                 1.0091,                0.86939,                0.81148,                 0.8302,                0.35243,                 1.8771,                0.90855,                  1.463,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1905,                0.56154,                 1.0205,                0.88535,                0.78279,                0.80832,                0.34839,                 1.9674,                0.93686,                 1.5099,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.1682,                0.56315,                 1.0177,                0.91381,                0.82556,                0.85887,                0.36537,                 1.8665,                0.85638,                 1.4836,               0.001208,               0.001208,               0.001208
                     43,                 1.1824,                0.54376,                 1.0018,                0.93855,                0.85246,                0.88297,                0.40903,                 1.7654,                0.83559,                  1.413,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1602,                0.54037,                 1.0046,                0.90366,                 0.8073,                0.84451,                0.35375,                 1.8656,                0.84328,                 1.4658,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.1428,                0.53331,                 1.0007,                0.91895,                0.83639,                0.85824,                 0.4034,                 1.8073,                 0.8905,                 1.4538,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1328,                0.52849,                 1.0073,                0.91065,                0.84016,                0.85707,                0.37716,                 1.8062,                0.91962,                 1.4193,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1832,                0.54882,                 1.0136,                0.84242,                0.77459,                0.78147,                0.32023,                 1.9961,                0.94112,                 1.5731,               0.001109,               0.001109,               0.001109
                     48,                 1.1239,                0.52155,                0.98778,                0.88324,                0.80607,                0.80088,                0.33199,                 1.9327,                0.79426,                 1.5517,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.1476,                0.52673,                0.98939,                0.89973,                0.79918,                0.84302,                0.36291,                 1.9994,                0.80706,                 1.5901,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1571,                0.53379,                 1.0065,                0.92079,                0.85246,                0.88299,                 0.4137,                 1.7913,                0.82423,                 1.4173,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1107,                0.51268,                0.99368,                0.91417,                0.82934,                0.86106,                0.39111,                 1.8296,                0.90415,                  1.464,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1239,                0.51264,                0.98887,                0.92208,                0.82444,                0.86606,                0.39748,                 1.7929,                0.81683,                 1.4491,                0.00101,                0.00101,                0.00101
                     53,                 1.0982,                0.51299,                0.97571,                0.92549,                0.81453,                0.84661,                0.36441,                 1.8991,                0.90788,                 1.4975,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.131,                0.52276,                0.98912,                0.86301,                0.80328,                  0.812,                0.33614,                 1.9346,                0.85604,                 1.5528,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1279,                0.51773,                0.99689,                0.87572,                 0.7797,                0.79802,                0.34278,                  2.014,                0.83034,                 1.6312,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.1041,                0.50632,                0.98461,                0.87928,                0.77617,                0.81894,                0.36101,                 1.8879,                0.83854,                 1.5104,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1033,                0.50662,                0.97961,                0.83446,                0.80738,                0.81974,                0.34252,                 1.9263,                0.89422,                 1.5143,               0.000911,               0.000911,               0.000911
                     58,                  1.086,                0.49766,                0.98401,                 0.8902,                0.77459,                0.80821,                0.34511,                 1.9307,                0.90701,                 1.5415,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0812,                0.48871,                0.97699,                0.89223,                0.81557,                0.83348,                0.35256,                 1.8757,                0.88295,                 1.5056,              0.0008714,              0.0008714,              0.0008714
